~~~~~~~
./properties_to_tsv/global_views.tsv
Field Name	en	ru
##################################################################
# Global Views Localization
#
# These for fields that are not in the schema or
# need to be overridden
##################################################################

##############################
# Tree Forms
##############################
# used by more than one form
ACCEPTEDPARENT	Preferred Name	Принятое название

# Taxon Form
PARENT	Parent	Родитель
HYBRIDPARENT1	Hybrid Taxon 1	Гибридный Таксон 1
HYBRIDPARENT2	Hybrid Taxon 2	Гибридный Таксон 2
COMMONNAMES	Common Names	Народное название
ATTACHMENTS	Attachments	Приложения

# Separators in each form
TAXON	Taxonomy	Таксономия
LITHOSTRAT	LithoStrat	Литостратиграфия
GEOGRAPHY	Geography	География
GEOLOGICTIMEPERIOD	ChronoStrat	Хроностратиграфия
STORAGE	Storage	Место хранения

# Object Attachment Form
FILENAME	File Name	Имя файла
TITLE	Title	Заглавие
DATE_IMAGED	Date Imaged	Дата Изображения
FILE_CREATED_DATE	File Created Date	Дата создания файла
COPYRIGHT_HOLDER	Copyright Holder	Правообладатель
COPYRIGHT_DATE	Copyright Date	Дата создания авторского права
ATTACHMENT_LOCATION	Attachment Location	Расположение приложения
LICENSE	License	Лицензия
CREDIT	Credit	Кредит
MIME_TYPE	Mime Type	Mime Тип
REMARKS	Remarks	Примечания

#Attachment Image Attribute Form
HEIGHT	Height	Высота
WIDTH	Width	Ширина
RESOLUTION	Resolution	Разрешение
MAGNIFICATION	Magnification	Увеличение
CREATIVE_COMMONS	Creative Commons	Creative Commons
MBIMAGEID	Morphbank Image ID	ID Изображения в Morphbank
TIMESTAMP_LAST_SEND	Sent to Morphbank	Отправлено в Morphbank
TIMESTAMP_LAST_UPDATECHECK	Updated from Morphbank	Обновлено от Morphbank

# Report Properties Form
TITLE	Title	Заглавие
SUBTITLE	SubTitle	Подзаголовок
FOOTER	Footer	Нижний колонтитул



~~~~~~~
./properties_to_tsv/system_setup.tsv
Field Name	en	ru
DOA_DLG_TITLE	Aggregation Editor	Редактор агрегации
DOA_AGGREGATION	Aggregation	Агрегирование
DOA_DEFAULT	Default	По умолчанию
DOA_TITLE	Title	Заглавие
DOA_NAME	NAME	НАЗВАНИЕ
DOA_DISPLAY	Display	Показывать
DOA_SEP	Separator	Разделитель
DOA_ENDING	Ending	Окончание
DOA_SORT_BY	Sort by	Сортировать по
DOA_COUNT	Count	Счет

~~~~~~~
./properties_to_tsv/views.tsv
Field Name	en	ru
#################################################
# Discipline
#################################################
CollectingEvent	Collecting Event	Cобытие сбора
CollectionObject	Collection Object	Объект Коллекции

#################################################
# Common
#################################################
Appraisal	Appraisal	Оценка
CollectingTrip	Collecting Trip	Экспедиция
ConservDescription	Conserv Description	Описание Консервации
Deaccession	Deaccession	Списание
FieldNotebook	Field Notebook	Полевой Дневник
Project	Project	Проект

#################################################
# Global
#################################################
Agent	Agent	Агент
Permit	Permit	Разрешение
Locality	Locality	Местонахождение
Journal	Journal	Журнал
ReferenceWork	Reference Work	Литературный Источник
Taxon	Taxon	Таксон
Geography	Geography	География
Storage	Storage	Место хранения
GeologicTimePeriod	Chronos	Хронос
LithoStrat	Litho Stratigraphy	Литостратиграфия

#################################################
# Preparation Form
#################################################
IS_ON_LOAN	Is On Loan	В заеме
SHOW_INTERACTIONS	Show Interactions	Показать Транзакции

~~~~~~~
./properties_to_tsv/expresssearch.tsv
Field Name	en	ru
####################
# Fields
####################
TaxonName	Taxon Name	Название таксона
Geography	Geography	География
Determiner	Determiner	Определил
Collectors	Collectors	Коллекторы
OldTaxonName	Old Name	Раннее название
AcceptedTaxonName	Preferred Name	Принятое название
DeterminationName	Determination Name	Название в момент идентификации
OldTaxonOnDeter	Name on Determination	Раннее название в момент идентификации
OtherOldTaxonName	Other Name	Другие названия
GeoCategory	Category	Категория географии
StorageName	Storage	Место хранения
Name	Name	Название

####################
# Fields  Descriptionw
####################
TaxonName_desc	The taxon Name	Название таксона
Geography_desc	The geography name	Название географии
Determiner_desc	The person who determined it	Определил
Collectors_desc	The list of collectors	Список коллекторов
OldTaxonName_desc	The old taxon name	Раннее название таксона
AcceptedTaxonName_desc	The preferred taxon name	Принятое название таксона
DeterminationName_desc	The determination name	Название на момент идентификации
OldTaxonOnDeter_desc	The taxon name on the determination	Раннее название на момент идентификации
OtherOldTaxonName_desc	Another taxon name having the same preferred taxon name	Другое раннее название, имеющее такое же принятное название
GeoCategory_desc	Category of the geography	Категория географии
LocationName_desc	The location of the object	Размещение объекта
Name_desc	The name of the object	Название объекта
StorageName_desc	Storage name	Название места хранения

####################
# Express Search Titles
####################
CollObjToDeterminer	Taxon CollectionObject	Таксон Объект Коллекции
CollObToLocality	Collecting Event Locality	Местонахождение Событие Сбора
CollObject	Collection Object Taxon	Объект Коллекции Таксон
GeoToTaxon	Taxon Geography	Таксон География
ColObjCollectors	Collection Object Collectors	Объект Коллекции Коллекторы
AcceptedTaxon	Taxon Preferred Taxon	Таксон Притяный Таксон
SynonymCollObjs	Collection Object Preferred Taxon	Объект Коллекции Принятый Таксон
#AcceptedNameCollObjs=Accepted Name for Collection Object
OtherSynsCollObjs	Collection Object Taxon (all synonyms)	Объект Коллекции Таксон (все синонимы)
CurrCollObject	Collection Object Taxon (determined)	Объект Коллекции Таксон (идентифицирован)
AgentFromAgentVariant	Agent Agent Variant	Агент Вариант Агента
Agent	Agent	Агент
AgentVariant	Agent Variant	Вариант агента
LocalityAlias	Locality Locality Alias	Местонахождение Другое название местонахождения
CEToCO	Collection Object Collecting Event	Объект Коллекции Событие Сбора
LocToCO	Collection Object Locality	Объект Коллекции Локалитет
Acc2ATT	Accession Attachments	Приложения Поступления
Agt2ATT	Agent Attachments	Приложения Агента
Co2ATT	Collection Attachments	Приложения Коллекции
CoEv2ATT	Collecting Event Attachments	Приложения События Сбора
ConD2ATT	Conservator Description Attachments	Приложения Описаня Консервации
ConE2ATT	Conservator Event Attachments	Приложения События Консервации
DNA2ATT	DNA Sequence Attachments	Приложения к ДНК сиквенсу
Fbk2ATT	Field Notebook Attachments	Приложения к Полевым записям
FbkPG2ATT	Field Notebook Page Attachments	Приложения к Странице Полевых записей
FbkPGS2ATT	Field Notebook Page Set Attachments	Приложения к Серии Полевых записей
Loc2ATT	Locality Attachments	Приложения к Местонахождению
Per2ATT	Permit Attachments	Приложения к Разрешению
Prep2ATT	Preparation Attachments	Приложения к Препаратам
Rep2ATT	Repository Agreement Attachments	Приложения к Соглашению
Tax2ATT	Taxon Attachments	Приложения к Таксону
AccessionToCO	Collection Object Accession	Объект Коллекции Поступление
AccessionToAgent	Agent Accession	Агент Поступление
BorrowToAgent	Agent Borrow	Агент Поступление
AppraisalToAgent	Agent Appraisal	Аген Оценка
GeoTimePeriodToCO	Collection Object Chronostratigraphy	Объект Коллекции Хроностратиграфия
CollEventToCollectors	 Collector CollectingEvent	Коллекторы Событие Сбора
CollTripCollEvent	 Collecting Event Collecting Trip	Событие Сбора Экспедиция
AgentExchangeIn	Exchange In Agent	Внешний обмен Агент
AgentExchangeOut	Exchange Out Agent	Внутренний обмен Агент
GeographyCE	Collecting Event Geography	Событие Сбора География
GeographyCO	Collection Object Geography	Объект Коллекции География
GiftCO	Collection Object Gift	Объект Коллекции Дар
GiftAgent	Agent Gift	Агент Дар
LoanCO	Collection Object Loan	Объект Коллекции Заем
LoanAgent	Agent Loan	Агент Заем
LithoStratToCO	Collection Object Lithostratigraphy	Объект Коллекции Литостратиграфия
PermitToCO	Collection Object Permit	Объект Коллекции Разрешение
PermitIssuedToAgent	 Agent Issued to Permit	Агент выдавший Разрешение
PermitIssuedByAgent	Agent Issued by Permit	Агент получивший Разрешение
ProjectCO	Collection Object Project	Проект Объекта Коллекции
ProjectAgent	Agent Project	Проект Агента
RepoAgreeAgent	Agent Repository Agreement	Агент Соглашение о Хранении
StorageCO	Collection Object Storage	Объект Коллекции Хранение
TaxCollObject	Collection Object Taxon	Объект Коллекции Таксон
ColObjToContainer	Collection Object Container	Объект Коллекции Контейнер
ContainerToKids	Container Collection Object Children	Контейнер Объект Коллекции Дочерние элементы
ContainerToContainerKids	Container Container Children	Контейнер Дочерние элементы
ExchangeInCO	Collection Object Exchange In	Объект Коллекции Внутренний Обмен
ExchangeOutCO	 Collection Object Exchange Out	Объект Коллекции Внешний Обмен

####################
# Express Search Description
####################
CollObjToDeterminer_desc	Collection Objects with Determiner and Taxon for current Determinations	Объект Коллекции с Определившим и Таксон для текущей идентификации
CollObToLocality_desc	Collecting Events with Localities	Событие сбора с местонахождениями
CollObject_desc	Collection Objects with determined Taxa	Объект Коллекции с идентифицированными Таксонами
GeoToTaxon_desc	Geography records where taxa were collected	Географические записи где таксоны были собраны
ColObjCollectors_desc	Collection Object with Collectors	Объект Коллекции с Коллекторами
AcceptedTaxon_desc	Old Taxa with their preferred names.	Ранние таксоны с их принятыми названиями.
SynonymCollObjs_desc	Collection objects with determined Taxon names and preferred Taxon names	Объект Коллекции с идентифицированными Таксонами и принятыми названиями
