Field Name	en	ru
####################
# Fields
####################
TaxonName	Taxon Name	Название таксона
Geography	Geography	География
Determiner	Determiner	Определил
Collectors	Collectors	Коллекторы
OldTaxonName	Old Name	Раннее название
AcceptedTaxonName	Preferred Name	Принятое название
DeterminationName	Determination Name	Название в момент идентификации
OldTaxonOnDeter	Name on Determination	Раннее название в момент идентификации
OtherOldTaxonName	Other Name	Другие названия
GeoCategory	Category	Категория географии
StorageName	Storage	Место хранения
Name	Name	Название

####################
# Fields  Descriptionw
####################
TaxonName_desc	The taxon Name	Название таксона
Geography_desc	The geography name	Название географии
Determiner_desc	The person who determined it	Определил
Collectors_desc	The list of collectors	Список коллекторов
OldTaxonName_desc	The old taxon name	Раннее название таксона
AcceptedTaxonName_desc	The preferred taxon name	Принятое название таксона
DeterminationName_desc	The determination name	Название на момент идентификации
OldTaxonOnDeter_desc	The taxon name on the determination	Раннее название на момент идентификации
OtherOldTaxonName_desc	Another taxon name having the same preferred taxon name	Другое раннее название, имеющее такое же принятное название
GeoCategory_desc	Category of the geography	Категория географии
LocationName_desc	The location of the object	Размещение объекта
Name_desc	The name of the object	Название объекта
StorageName_desc	Storage name	Название места хранения

####################
# Express Search Titles
####################
CollObjToDeterminer	Taxon CollectionObject	Таксон Объект Коллекции
CollObToLocality	Collecting Event Locality	Местонахождение Событие Сбора
CollObject	Collection Object Taxon	Объект Коллекции Таксон
GeoToTaxon	Taxon Geography	Таксон География
ColObjCollectors	Collection Object Collectors	Объект Коллекции Коллекторы
AcceptedTaxon	Taxon Preferred Taxon	Таксон Притяный Таксон
SynonymCollObjs	Collection Object Preferred Taxon	Объект Коллекции Принятый Таксон
#AcceptedNameCollObjs=Accepted Name for Collection Object
OtherSynsCollObjs	Collection Object Taxon (all synonyms)	Объект Коллекции Таксон (все синонимы)
CurrCollObject	Collection Object Taxon (determined)	Объект Коллекции Таксон (идентифицирован)
AgentFromAgentVariant	Agent Agent Variant	Агент Вариант Агента
Agent	Agent	Агент
AgentVariant	Agent Variant	Вариант агента
LocalityAlias	Locality Locality Alias	Местонахождение Другое название местонахождения
CEToCO	Collection Object Collecting Event	Объект Коллекции Событие Сбора
LocToCO	Collection Object Locality	Объект Коллекции Локалитет
Acc2ATT	Accession Attachments	Приложения Поступления
Agt2ATT	Agent Attachments	Приложения Агента
Co2ATT	Collection Attachments	Приложения Коллекции
CoEv2ATT	Collecting Event Attachments	Приложения События Сбора
ConD2ATT	Conservator Description Attachments	Приложения Описаня Консервации
ConE2ATT	Conservator Event Attachments	Приложения События Консервации
DNA2ATT	DNA Sequence Attachments	Приложения к ДНК сиквенсу
Fbk2ATT	Field Notebook Attachments	Приложения к Полевым записям
FbkPG2ATT	Field Notebook Page Attachments	Приложения к Странице Полевых записей
FbkPGS2ATT	Field Notebook Page Set Attachments	Приложения к Серии Полевых записей
Loc2ATT	Locality Attachments	Приложения к Местонахождению
Per2ATT	Permit Attachments	Приложения к Разрешению
Prep2ATT	Preparation Attachments	Приложения к Препаратам
Rep2ATT	Repository Agreement Attachments	Приложения к Соглашению
Tax2ATT	Taxon Attachments	Приложения к Таксону
AccessionToCO	Collection Object Accession	Объект Коллекции Поступление
AccessionToAgent	Agent Accession	Агент Поступление
BorrowToAgent	Agent Borrow	Агент Поступление
AppraisalToAgent	Agent Appraisal	Аген Оценка
GeoTimePeriodToCO	Collection Object Chronostratigraphy	Объект Коллекции Хроностратиграфия
CollEventToCollectors	 Collector CollectingEvent	Коллекторы Событие Сбора
CollTripCollEvent	 Collecting Event Collecting Trip	Событие Сбора Экспедиция
AgentExchangeIn	Exchange In Agent	Внешний обмен Агент
AgentExchangeOut	Exchange Out Agent	Внутренний обмен Агент
GeographyCE	Collecting Event Geography	Событие Сбора География
GeographyCO	Collection Object Geography	Объект Коллекции География
GiftCO	Collection Object Gift	Объект Коллекции Дар
GiftAgent	Agent Gift	Агент Дар
LoanCO	Collection Object Loan	Объект Коллекции Заем
LoanAgent	Agent Loan	Агент Заем
LithoStratToCO	Collection Object Lithostratigraphy	Объект Коллекции Литостратиграфия
PermitToCO	Collection Object Permit	Объект Коллекции Разрешение
PermitIssuedToAgent	 Agent Issued to Permit	Агент выдавший Разрешение
PermitIssuedByAgent	Agent Issued by Permit	Агент получивший Разрешение
ProjectCO	Collection Object Project	Проект Объекта Коллекции
ProjectAgent	Agent Project	Проект Агента
RepoAgreeAgent	Agent Repository Agreement	Агент Соглашение о Хранении
StorageCO	Collection Object Storage	Объект Коллекции Хранение
TaxCollObject	Collection Object Taxon	Объект Коллекции Таксон
ColObjToContainer	Collection Object Container	Объект Коллекции Контейнер
ContainerToKids	Container Collection Object Children	Контейнер Объект Коллекции Дочерние элементы
ContainerToContainerKids	Container Container Children	Контейнер Дочерние элементы
ExchangeInCO	Collection Object Exchange In	Объект Коллекции Внутренний Обмен
ExchangeOutCO	 Collection Object Exchange Out	Объект Коллекции Внешний Обмен

####################
# Express Search Description
####################
CollObjToDeterminer_desc	Collection Objects with Determiner and Taxon for current Determinations	Объект Коллекции с Определившим и Таксон для текущей идентификации
CollObToLocality_desc	Collecting Events with Localities	Событие сбора с местонахождениями
