Field Name	en	ru	ru_FilippovaN
##################################################################			
# Global Views Localization			
#			
# These for fields that are not in the schema or			
# need to be overridden			
##################################################################			
			
##############################			
# Tree Forms			
##############################			
# used by more than one form			
ACCEPTEDPARENT	Preferred Name	Предпочитаемое имя	Принятое название
			
# Taxon Form			
PARENT	Parent	Родитель	Родитель
HYBRIDPARENT1	Hybrid Taxon 1	Гибридный Таксон 1	Гибридный Таксон 1
HYBRIDPARENT2	Hybrid Taxon 2	Гибридный Таксон 2	Гибридный Таксон 2
COMMONNAMES	Common Names	Общие имена	Народное название
ATTACHMENTS	Attachments	Вложения	Приложения
			
# Separators in each form			
TAXON	Taxonomy	Таксономия	Таксономия
LITHOSTRAT	LithoStrat	Литостратиграф.	Литостратиграфия
GEOGRAPHY	Geography	География	География
GEOLOGICTIMEPERIOD	ChronoStrat	Хроностатиграф.	Хроностратиграфия
STORAGE	Storage	Место хранения	Место хранения
			
# Object Attachment Form			
FILENAME	File Name	Имя файла	Имя файла
TITLE	Title	Заглавие	Заглавие
DATE_IMAGED	Date Imaged	Дата Изображения	Дата Изображения
FILE_CREATED_DATE	File Created Date	Дата создания файла	Дата создания файла
COPYRIGHT_HOLDER	Copyright Holder	Правообладатель	Правообладатель
COPYRIGHT_DATE	Copyright Date	Дата авторского права	Дата создания авторского права
ATTACHMENT_LOCATION	Attachment Location	Расположение вложения	Расположение приложения
LICENSE	License	Лицензия	Лицензия
CREDIT	Credit	Кредит	Кредит
MIME_TYPE	Mime Type	Mime Тип	Mime Тип
REMARKS	Remarks	Замечания	Примечания
			
#Attachment Image Attribute Form			
HEIGHT	Height	Высота	Высота
WIDTH	Width	Ширина	Ширина
RESOLUTION	Resolution	Разрешение	Разрешение
MAGNIFICATION	Magnification	Увеличение	Увеличение
CREATIVE_COMMONS	Creative Commons	Творческое достояние	Creative Commons
MBIMAGEID	Morphbank Image ID	Morphbank ID Изображения	ID Изображения в Morphbank
TIMESTAMP_LAST_SEND	Sent to Morphbank	Отправлено в Morphbank	Отправлено в Morphbank
TIMESTAMP_LAST_UPDATECHECK	Updated from Morphbank	Обновлено от Morphbank	Обновлено от Morphbank
			
# Report Properties Form			
TITLE	Title	Заглавие	Заглавие
SUBTITLE	SubTitle	Подзаголовок	Подзаголовок
FOOTER	Footer	Нижний колонтитул	Нижний колонтитул


