Field Name	en	ru	ru_FilippovaN
#EMAIL			
EMAIL	Email	E-mail	Email
EMAIL_ACCT_SETTINGS	Email Account Settings	Настройки email	Настройки Email
ACCT_TYPE	Account Type	Тип учетной записи	Тип учетной записи
ACCT_NAME	Account Name	Имя учетной записи	Имя учетной записи
SERVER_NAME	Server Name	Имя сервера	Имя сервера
SMTP	SMTP	SMTP	SMTP
LOCAL_MAILBOX	Local Mailbox	Локальный почтовый ящик	Локальный почтовый ящик
USER_INFO	User Information	Информация о пользователе	Информация о пользователе
USERNAME	Username	Имя пользователя	Имя пользователя
PASSWORD	Password	Пароль	Пароль
SEND_TEST_EMAIL	Send Test Email	Отправить тестовое письмо	Отправить тестовый Email
PORT	Port	Порт	Порт
EMAILSECURITY	Security	Безопасность	Безопасность
			
#FORMATTING			
FORMATTING	Formatting	Форматирование	Форматирование
SCRN_DATE_FORMAT	Screen Date Format	Формат даты экрана	Формат даты экрана
ERROR_CLR	Error Color	Цвет ошибки	Цвет Ошибки
REQ_FIELD_CLR	Required Field Color	Обязательный цвет поля	Цвет Обязательного Поля
VIEW_FIELD_CLR	View Field Color	Цвет поля просмотра	Цвет Поля Просмотрщика
FORM_FONT	Form Font	Шрифт Форм	Шрифт Форм
FONT_SIZE	Size	Размер	Размер
CONTROL_SIZE	Control Size	Размер элемента управления	Размер элемента управления
CO_ICON	Collection Object Icon	Значок объекта коллекции	Значок объекта коллекции
DISC_ICON	Discipline Icon	Значок дисциплины	Значок дисциплины
CHOOSE	Choose	Выбрать	Выбрать
APP_ICON_SEP	Application Icon	Значок приложения	Значок приложения
APP_ICON	Application Icon	Значок приложения	Значок приложения
SET_ICON	Set Icon	Установить значок	Установить значок
CLEAR_ICON	Clear Icon	Очистить значок	Очистить значок
RESET_DEF_FONT	Reset To Default Font	Восстановить шрифт по умолчанию	Восстановить шрифт по умолчанию
SIMP_SRCH_SEP	Simple Search Results Bar	Простая панель результатов поиска	Простая панель результатов поиска
BNR_ICON_SIZE_LBL	Icon Size	Размер значка	Размер значка
BNR_ICON_SIZE	%d x %d pixels	%d x %d пикселей	%d x %d пикселей
FORM_LAYOUT	Form Layout	Макет формы	Макет формы
			
#Audits			
AUDITS	Audit Log	Журнал аудита	Лог Аудита
DO_AUDITS	Enable Auditing	Включить аудитирования	Вклачить Аудирование
DO_AUDIT_FIELDS	Audit Field Value Changes	Аудитировать старые и новые значенния полев	Аудировать изменения значений полей
AUDIT_LIFESPAN_MONTHS	Months to Save Audits	Месяцы для сохранения аудита	Месяцев хранения аудитов
			
#WebPortal			
PROCESS_WEBLINKS	Export WebLinks as URLs	Экспортировать веб-ссылки как URL-адреса	Экспортировать веб-ссылки как URL-адреса
			
AUTONUM_INC_ERR	Error incrementing the number, the year '%s' or position '%d' was wrong.	Ошибка при увеличении числа: год '%s' или позиции  '%d' были неправильными.	Ошибка при инкрементировании: год '%s' или позиции  '%d' были неверными.
AUTONUM_BAD_DATA_ERR	There was a problem incrementing the formatted number.\nThere may be data in the database that doesn't match the format.	Не удалось увеличить форматированный номер.\nБазы данных могут содержать данные, которые не соответствуют формату.	Не удалось инкрементировать форматированный номер.\nБаза данных может содержать данные, которые не соответствуют формату.
			
			
#MISC			
MISC	Task Bar	Панель задач	Панель задач
INTERACTIONS	Task Bar Items	Элементы панели задач	Элементы панели задач
USING_INTERACTIONS	Add Interactions	Показовать взаимодействия	Показовать транзакции
ADD_TOOLS	Add Plugins	Показовать плагины	Показовать плагины
ADD_WELCOME	Add Welcome	Показовать Добро пожаловать	Показовать Добро пожаловать
ADD_ATTACHMENTS	Add Attachments	Показовать вложения	Показовать приложения
ADD_CLEANUP	Add Cleanup Tools	Показовать инструменты очистки	Показовать инструменты верификации
ADD_SYMBIOTA	Add Symbiota	Показовать Symbiota	Показовать Symbiota
ADD_SGR	Add SGR	Показовать SGR	Показовать SGR
CLEANUP_TITLE	Cleanup Tools	Инструменты очистки	Инструменты верификации
			
#SYSTEM			
SYSTEM	System	Система	Система
LOCALE	Locale	Язык	Локаль
GEO_REF	Georeferencing	Адрес места поставки товара	Геопривязка
CACHE	Cache	Кэш	Кэш
