Field Name	en	ru	ru_FilippovaN
#################################				
# Really common GUI terms				
#################################				
SPECIFY_VERSION	6.8.00	6.8.00	6.8.00	
				
APPVER_MISMATCH	The installed version is '%s' and doesn't match the internal version of '%s'.\nThis can be resolved by doing a new full install.	Установленная версия '%s' и не соответствует внутренней версии '%s'.\n Это можно решить, выполнив новую полную установку.		
true	Yes	Да	Да	
false	No	Нет	Нет	
NO	No	Нет	Нет	
YES	Yes	Да	Да	
ALL	All	Все	Все	
NA			N/A	
FILE	File	Файл		
ABOUT	About	О	Подробнее	
EDIT	Edit	Редактировать	Редактировать	
SAVE	Save	Сохранить	Сохранить	
CANCEL	Cancel	Отмена	Отмена	
ENABLE	Enable	Включить	Включить	
Enable	Enable	Включить	Включить	
DISCARD	Discard	Отмена	Отменить	
EXIT	Exit	Выход	Выход	
FIND	Find	Найти	Найти	
SEARCH	Search	Поиск	Поиск	
FINDNEXT	Find Next	Найти следующий	Найти Следующий	
BROWSE	Browse...	Выбрать...	Пролистать...	
NEXT	Next	Далее	Далее	
SKIP	Skip	Пропускать	Пропустить	
BACK	Back	Назад	Назад	
OK	OK	OK	OK	
APPLY	Apply	Применять	Применить	
CLOSE	Close	Закрыть	Закрыть	
COPY	Copy	Копировать	Копировать	
HELP	Help	Помогите	Справка	
SELECTALL	Select All	Выбрать все	Выбрать Все	
DeselectAll	Deselect All	Убрать выделение со всего	Убрать Все выделения	
DESELECTALL	Deselect All	Убрать выделение со всего	Убрать Все выделения	
WARNING	Warning	Предупреждение	Предупреждение	
HINT	Hint	Совет	Подсказка	
Delete	Delete	Удалить	Удалить	
DELETE	Delete	Удалить	Удалить	
DELETE_MNEU	D	У	?	
Open	Open	Открыто	Открыть	
OPEN	Open	Открыто	Открыть	
EMail	Email	Email	Email	
EMAIL	Email	Email	Email	
Login	Login	Вход	Вход	
LOGIN	Login	Вход	Вход	
ACCEPT	Accept	Принять	Принять	
DONE	Done	Готово	Готово	
QUIT	Quit	Остановить	Выйти	
DISMISS	Dismiss	Отклонять	Отклонить	
Continue	Continue	Продолжить	Продолжить	
CONTINUE	Continue	Продолжить	Продолжить	
Stop	Stop	Стоп	Стоп	
IMAGES	Images	Картинки	Картинки	
CACHE	Cache	Кэш	Кэш	
Query	Query	Запрос	Запрос	
BATCHEDIT	BatchEdit	Пакетное редактирование	Пакетное Редактирование	
QUERIES	Saved Queries	Сохраненные Запросы	Сохраненные Запросы	
NONE	None	Никто	Ничего	
ADD	Add	Добавить	Добавить	
REMOVE	Remove	Удалить	Убрать	
LOADING	Loading...	Загрузка...	Загрузка...	
AND	and	и	и	
RESTRICTED	Restricted	Ограниченный	Ограниченный	
APP_EXIT	The application will now exit.	Приложение будет закрыто.	Приложение будет закрыто.	
SCHEMA_UP_OK	The Specify database schema (structure) has been updated.\nAll computers accessing the Specify database must be updated to this release version.	Схема (структура) базы данных Specify была обновлена.\nВсе компьютеры, имеющие доступ к базе данных Specify, должны быть обновлены до этой версии выпуска.	Схема базы данных (структура) Specify была обновлена.\nВсе компьютеры, подключенные к базе данных Specify, должны быть обновлены до текущей версии.	
APPVER_UP_OK	Specify software on this computer has been updated to release %s.\nAll computers accessing the Specify database must be updated to this release version.	Укажите программное обеспечение на этом компьютере, которое было обновлено до выпуска %s.\nВсе компьютеры, имеющие доступ к базе данных Specify, должны быть обновлены до этой версии выпуска.	Specify на этом компьютере был обновлен до версии %s.\nВсе компьютеры, подключенные к базе данных Specify, должны быть обновлены до текущей версии.	
Title	Title	Заглавие	Заголовок	
Subtitle	Subtitle	Подзаголовок	Подзаголовок	
Footer	Footer	Нижний колонтитул	Нижний колонтитул	
DELETING	Deleting	Удаление	Удаление	
INITIALIZING	Initializing...	Инициализация...	Запуск...	
PRINT	Print	Распечатать	Печать	
SUMMARY	Summary	Сводка	Отчет	
Clear	Clear	Очистить	Очистить	
Process	Process	Процесс	Процесс	
NO_INTERNET	Specify was unable to connect to the Internet.\nThe Internet may not be available.	Указать не удалось подключиться к Интернету.\nИнтернет может быть недоступен.	Specify не удалось установить соединение. n\Проверьте соединение с Интернет.	
UPDATING_FOR_RELEASE	Updating database for release...	Обновление базы данных для выпуска...	Обновление базы данных до версии...	
				
SPECIFY_HELP	Specify Help	Specify Помощь	Справка Specify	
				
EZDB_FIRSTTIME	Welcome to Specify EZDB.\nYou must first run the Specify Wizard and create a database.	Добро пожаловать в Specify EZDB.\nВы должны сначала запустить Specify Wizard и создать базу данных.	Добро пожаловать в Specify EZDB.\nЗапустите Specify Wizard и создайте базу данных.	
MOBILE_INFO	Important!	Важный!	Важно!	
MOBILE_INTRO	<html><p>This Specify Mobile WorkBench is designed to be installed on, and run from, a USB flash drive.</p><p>It keeps the primary copy of your WorkBench data on the USB drive and a hidden backup copy on the host computer's disk drive.</p><p>If you are using a USB drive, unplugging it from the host computer before the WorkBench is shutdown will destroy your data.</p><p>DO NOT UNPLUG A USB DRIVE BEFORE THE SPECIFY WORKBENCH (OR COMPUTER) IS SHUTDOWN NORMALLY.</p><p>The Mobile WorkBench will pop-up a window at shutdown indicating that it is safe to unplug your USB flash drive from the computer.</p>	<html><p>Этот Specify Mobile WorkBench предназначен для установки на флэш-накопитель USB и запуска с него.</p><p>Он сохраняет основную копию данных WorkBench на USB-накопителе и скрытую резервную копию. скопируйте на дисковод хост-компьютера.</p><p>Если вы используете USB-накопитель, отключите его от хост-компьютера до выключения WorkBench, чтобы уничтожить ваши данные.</p><p>НЕ ОТКЛЮЧАЙТЕ A USB-ДИСК ПЕРЕД НАЧАТЬ УСТРОЙСТВО ДЛЯ РАБОТЫ (ИЛИ КОМПЬЮТЕРА) НОРМАЛЬНО ВЫКЛЮЧАЕТСЯ.</p><p>Mobile WorkBench при выключении отобразит окно, указывающее, что можно безопасно отключить USB-накопитель от компьютера.</p>	<html><p>Модуль Specify Мобильный Импорт Данных предназначен для установки и запуска с флэш-накопителя USB .</p><p>Он сохраняет основную копию данных из Импорт Данных на USB-накопителе и скрытую резервную копию на жестком диске компьютера.</p><p>Если вы используете USB-накопитель, отключение его от компьютера до выхода из Импорт Данных уничтожит ваши данные.</p><p>НЕ ОТКЛЮЧАЙТЕ USB-ДИСК ПЕРЕД ВЫХОДОМ ИЗ SPECIFY ИМПОРТ ДАННЫХ (ИЛИ ПОЛНОГО ВЫКЛЮЧЕНИЯ КОМПЬЮТЕРА).</p><p>Мобильный Импорт Данных при выключении отобразит сообщение о безопасном отключении USB-накопителя от компьютера.</p>	
MOBILE_SHUTTING_DOWN	Shutting down...	Выключение...	Выключение...	
MOBILE_FINI	If you are using the Specify Mobile Workbench on a USB flash drive, it is now safe to unplug the drive from the computer.	Если вы используете Specify Mobile Workbench на флэш-накопителе USB, теперь можно безопасно отключить диск от компьютера.	Если вы используете Specify Мобильный Импорт Данных на флэш-накопителе USB, теперь можно безопасно отключить диск от компьютера.	
				
CHSE_VIDEO	Choose a Video	Выберите видео	Выберите Видео	
CHSE_VIDEO_TT	Watch a Video	Смотреть видео	Смотреть Видео	
				
# Remove as in remove from a list without deleting the object from the database				
Remove	Remove	Удалить	Удалить	
				
CHANGE_COLLECTION	Change Collection	Изменить коллекцию	Изменить Коллекцию	
				
#Scriplet				
SCRPLT_MON_LEN	%d months	%d месяцев	%d месяцев	
SCRPLT_1_MON_LEN	%d month	%d месяц	%d месяц	
SCRPLT_NO_COLTRS	No Collectors	Нет коллекционеров	Нет Коллекторов	
SCRPLT_N	N	С	С	
SCRPLT_S	S	Ю	Ю	
SCRPLT_E	E	В	В	
SCRPLT_W	W	З	З	
				
# Used by LengthInputVerifier				
UI_NEWDATA_TOO_LONG	The data in the field '%s' exceeds %d characters.	Данные в поле '%s' превышают %d символов.	Поле '%s' превышает %d символов.	
				
# Data Menu				
DATA_FIRST	First	Первый	Первый	
DATA_PREVIOUS	Previous	Предыдущий	Предыдущий	
DATA_NEXT	Next	Далее	Далее	
DATA_LAST	Last	Прошлой	Прошлый	
SAVE_AND_NEW	Save And New	Сохранить и новый	Сохранить И Создать	
SAVE_AND_NEW_BTN	Save/New	Сохранить/Новый	Сохранить/Создать	
RS_NUM_LBL	Go to Record	Перейти к записи	Перейти к Записи	
RS_JUMP_TITLE	Jump to Record	Перейти к записи	Перейти к Записи	
				
# Build Sample Database				
BSD.TOOMANYLOCALES	There should only be one locale in the import file.	В файле импорта должна быть только одна локаль.	В файле импорта должна быть только одна локаль.	
				
#################################				
# UI Controls				
#################################				
TFWQ_ADD_LABEL	Add...	Добавить...	Добавить...	
TFWQ_CHOOSE_TITLE	Choose an Item	Выберите предмет	Выберите Элемент	
TFWQ_CHOOSE_LABEL	Choose item or add a new one	Выберите предмет или добавьте новый	Выберите элемент или добавьте новый	
TFWQ_SEARCHES_FLDS	Searches: %s	Поиски: %s	Поиск: %s	
TFWQ_InvalidEntry	Invalid Entry: '%s'	Неверный ввод: '%s'	Неверный Ввод: '%s'	
CHOOSE_FILE	Choose a File	Выберите файл	Выберите Файл	
				
# These are used in the Determination Status Form for describing the				
# different Type of Determination				
				
ViewFactory.FORM_FIELD_HIDDEN	The field '%s' (%s) is hidden in the schema and shouldn't be used on the Form '%s'.	Поле '%s' (%s) скрыто в схеме и не должно использоваться в форме '%s'.	Поле '%s' (%s) скрыто в схеме и не должно использоваться в Форме '%s'.	
ViewFactory.FORM_REL_HIDDEN	The relationship '%s' (%s) is hidden in the schema and shouldn't be used on the Form '%s'.	Отношение '%s' (%s) скрыто в схеме и не должно использоваться в форме '%s'.	Отношение '%s' (%s) скрыто в схеме и не должно использоваться в Форме '%s'.	
ViewFactory.CURR_DATE	Insert Current Date	Вставить текущую дату	Вставить Текущую Дату	
ViewFactory.CLEAR	Clear	Очистить	Очистить	
				
# edu.ku.brc.specify.ui.DBObjDialogFactory				
TREE_LOCKED_ERR_FRM	Specify could not lock the form for this tree.\n If no one else is using the tree you should try again,\n or unlock the tree from the 'Trees' task.	Specify не удалось заблокировать форму для этого дерева.\n Если дерево больше не используется, попробуйте еще раз,\n или разблокируйте дерево из задачи 'Деревья'.	Specify не удалось заблокировать форму для этого дерева.\n Если дерево больше не используется, попробуйте еще раз,\n или разблокируйте дерево из меню 'Деревья'.	
TREE_LOCKED_ERR	Specify could not lock the tree.\n If no one else is using the tree you should try again,\n or unlock the tree from the 'Trees' task.	Specify не удалось заблокировать дерево.\n Если дерево больше не используется, попробуйте еще раз,\n или разблокируйте дерево из задачи 'Деревья'.	Specify не удалось заблокировать дерево.\n Если дерево больше не используется, попробуйте еще раз,\n или разблокируйте дерево из меню 'Деревья'.	
DBObjDialogFactory.ERR_UNLOCKING_FORM	There was an error unlocking the form.\nYou may need to unlock the associated tree, if there is one.	Произошла ошибка при разблокировке формы.\nМожете разблокировать связанное дерево, если оно есть.	Произошла ошибка при разблокировке формы.\nПопробуйте разблокировать связанное дерево.	
DBObjSearchPanel.ASTERISK_HINT	<html><i>(You may wish to place an '*' before or after the word(s), for a wild card search.)	<html><i>(Вы можете поставить '*' перед или после слова (слов), для поиска по шаблону.)	<html><i>(Вы можете поставить '*' перед или после слова (слов) для поиска по шаблону.)	
DBObjSearchPanel.RESULTS	Search Results	Результаты поиска	Результаты Поиска	
SETTING_GUIDS	Setting GUIDs	Установка GUID	Присвоение GUID	
				
SpecifyGUIDGeneratorFactory.ERR_AUTH	GUID Authority is empty.\nThis is set in the Institution.	GUID Полномочия пусты.\nЭто установлено в Учреждении.	GUID не заполнен. \nНастройки в параметрах Учреждения.	
SpecifyGUIDGeneratorFactory.ERR_INCD	Institution Code is empty.\nThis is set in the Institution.	Код учреждения пуст..\nЭто установлено в учреждении.	Код Учреждения не заполнен. \nНастройки в параметрах Учреждения.	
SpecifyGUIDGeneratorFactory.ERR_CLCD	Collection Code is empty.\nThis is set in the Collection.	Код коллекции пуст.\nЭто установлено в коллекции.	Код Коллекции не заполнен. \nНастройки в параметрах Коллекции.	
SpecifyGUIDGeneratorFactory.UPDATING_GUIDS	Updating GUIDs...	Обновление GUID...	Обновление GUID...	
				
# FixDBAfterLogin				
FDBAL_PERMFIXED	Permissions Fixed	Разрешения исправлены	Разрешения Исправлены	
FDBAL_PERMFIXEDDESC	<HTML>The following users have had their permissions<br>reset to the defaults for their user type:	<HTML>Следующие пользователи получили свои права доступа<br>к значениям по умолчанию для их типа пользователя:	<HTML>Следующие пользователи получили права доступа<br>к значениям по умолчанию для их пользовательского уровня:	
				
# Unhandled Exceptions Dialog				
UnhandledExceptionTitle	An Error Has Occurred - Please Help Us Fix It!	Произошла ошибка - пожалуйста, помогите нам исправить это!	Произошла ошибка - пожалуйста, помогите нам ее исправить!	
UNHDL_EXCP	"<html><font face=""sans-serif"">Something unexpected just happened. Contact technical support if this problem continues. <BR>If you have a moment, please tell us briefly what you were doing when this window appeared, then click on the 'Send to Specify' button.<BR><BR>Thank you for your collaboration.</font>"	"<html><font face=""sans-serif"">Что-то неожиданное только что произошло. Обратитесь в службу технической поддержки, если проблема не устранена.<br>Если у вас есть момент, расскажите, пожалуйста, вкратце, что вы делали, когда появилось это окно, а затем нажмите кнопку 'Отправить в Specify'.<br><br>Спасибо за сотрудничество.</font>"	"<html><font face=""sans-serif"">В программе возникла неожиданная ошибка. Обратитесь в службу технической поддержки, если ошибка продолжает возникать.<br>По возможности опишите кратко ваши действия в момент появления ошибки, а затем нажмите кнопку 'Отправить в Specify'.<br><br>Спасибо за сотрудничество.</font>"	
UNHDL_EXCP_COPY	Copy To Clipboard	Скопировать в буфер обмена	Скопировать в Буфер обмена	
UNHDL_EXCP_STK	Stack Trace	Stack Trace	Stack Trace	
UNHDL_EXCP_CMM	Comments	Комментарии	Комментарии	
UNHDL_EXCP_SEND	Send To Specify	Отправить в Specify	Отправить в Specify	
				
#################################				
# Toolbar /  Tasks				
#################################				
Taxon	Taxon	Таксон	Таксон	
WorkBench	Workbench	WorkBench	Импорт Данных	
Workbench	Workbench	WorkBench	Импорт Данных	
workbench_hint	Create and edit a WorkBench Data Set	Создание и редактирование набора данных WorkBench	Создание и редактирование Набора Данных в Импорте Данных	
Data_Entry	Data	Данные	Данные	
dataentry_hint	Enter and update your collections	Введите и обновите свои коллекции	Введите и обновите свои коллекции	
Taxon_Tree	Taxonomy Tree	Дерево таксономии	Дерево Таксономии	
tree_hint	View/edit the Trees	Просмотр / редактирование деревьев	Просмотр/редактирование Деревьев	
Labels	Labels	Этикетки	Этикетки	
labels_hint	Create and Print Labels	Создать и распечатать этикетки	Создание и Печать этикеток	
Reports	Reports	Отчеты	Отчеты	
reports_hint	Create and Print Reports	Создание и печать отчетов	Создание и Печать отчетов	
REPORT_TT	Print Report	Распечатать отчет	Печать Отчета	
REFRESH_REPORT_TT	Check for new reports and labels.	Проверьте наличие новых отчетов и ярлыков.	Проверьте наличие новых отчетов и этикеток.	
IMPORT_REPORT_TT	Import reports designed outside of Specify.	Импорт отчетов, разработанных вне Specify.	Импорт отчетов, подготовленных в других программах.	
RefreshReports	Refresh	Обновление	Обновление	
ImportReport	Import	Импортировать	Импорт	
LABEL_TT	Print Label	Печать этикетки	Печать Этикетки	
Interactions	Interactions	Взаимодействия	Транзакции	
interactions_hint	Create, Edit Loans, Gifts, and Exchanges	Создание, редактирование займов, подарков и обменов	Создание и редактирование займов, даров и обменов	
search_hint	Search for any data in the collection	Поиск любых данных в коллекции	Поиск любых данных в коллекции	
Statistics	Statistics	Статистика	Статистика	
