Field Name	en	ru	ru_FilippovaN
			
TOP5	Top 5 Species	Топ 5 видов	Топ 5 видов
LAST10	Cataloged Last 10 Years	Каталогизировано за последние 10 лет	Каталогизировано за последние 10 лет
BYCTRY	Specimens by Country	Образцы по стране	Образцов из стран
			
# tool tips			
NUMSPECIES	Number of Specimens.	Количество образцов.	Количество образцов.
TOP5_TT	Shows a pie chart of the top five species cataloged.	Показывает круговую диаграмму пяти каталогизированных видов.	Показывает круговую диаграмму пяти ведущих видов.
TOP5_CHRT_TT	Shows a bar chart of the top 5 species cataloged.	Показывает гистограмму из 5 ведущих каталогизированных видов.	Показывает гистограмму пяти ведущих каталогизированных видов.
ITEMS_LAST10YR_TT	Items Cataloged Last 10 Years.	Каталогизированные товары за последние 10 лет.	Каталогизированы за последние 10 лет.
TMP_PERIODS_TT	Cataloged in the previous 10 years.	Каталогизировано за предыдущие 10 лет.	Каталогизированы за предыдущие 10 лет.
PRCNT_GRWTH_5YR_TT	Shows the percent of growth over the last 5 years.	Показывает процент роста за последние 5 лет.	Показывает процент роста за последние 5 лет.
TOP7_SPEC_CNTY_TT	Shows the number of specimens by country.	Показывает количество образцов по стране.	Показывает количество образцов по странам.
TOP10_SPEC_CNT_TT	Shows the top 10 number of species by Continent	Показывает 10 лучших видов по континентам	Показывает 10 ведущих видов по континентам
ITMS_LOAN_TT	Show the Items on Loan	Показать предметы в заеме	Показать образцы в заеме
OVRDUE_LOANS_TT	Show a list of overdue loans.	Показать список просроченных заемов.	Показать список просроченных заемов.
CAT_LAST_7DAYS_TT	Shows the items cataloged in the last 7 days.	Показывает элементы, каталогизированные за последние 7 дней.	Показывает образцы, каталогизированные за последние 7 дней.
CAT_LAST_MON_TT	Shows the items cataloged in the last month.	Показывает элементы, каталогизированные за последний месяц.	Показывает образцы, каталогизированные за последний месяц.
CAT_LAST_YR_TT	Shows the items cataloged in the last year.	Показывает элементы, каталогизированные в прошлом году.	Показывает образцы, каталогизированные в прошлом году.
LOAN_OVERDUE_TT	Shows a list of the loans that are overdue.	Показывает список заемов, которые просрочены.	Показывает список заемов, которые просрочены.
TOP5_ACC_DIV_TT	Shows the top 5 accessions by division.	Показывает 5 лучших образцов по разделам.	Показывает ведущие поступления по подразделениям.
PERMIT_EXP_YR_TT	Shows a list of permits that are expiring	Показывает список CITES разрешений, срок действия которых истекает	Показывает список устаревших разрешений
CITES_EXP_TR_TT	Shows a list of CITES permits that are expiring this Year	Показывает список разрешений СИТЕС, срок действия которых истекает в этом году	Показывает список разрешений CITES, срок действия которых истекает в этом году
NONCITES_EXP_TR_TT	Shows a list of Non-CITES permits that are expiring this Year	Показывает список разрешений не-CITES, срок действия которых истекает в этом году	Показывает список других разрешений, срок действия которых истекает в этом году
WB_DS	WorkBench Data Sets	Наборы данных WorkBench	Наборы данных Импорта Данных
			
ITEMS_LAST10YR	Items Cataloged Last 10 Years	Предметы, каталогизированные за последние 10 лет	Образцы, каталогизированные за последние 10 лет
YRS	Years	Лет	Лет
			
TMP_PERIODS	Temporial Periods	Временные периоды	Временные периоды
PRCNT_GRWTH_5YR	Percentage Grow Last 5 Years	Процент роста за последние 5 лет	Процент роста за последние 5 лет
PRCT	Percentage	процент	Процент
			
TOP7_SPEC_CNTY	Top 7 Number of Specimens by Country	Топ 7 образцов по стране	Топ 7 образцов по странам
TOP10_SPEC_CNT	Top 10 Number of Specimens by Continent	10 лучших образцов по континентам	Топ 10 образцов по континентам
			
