Field Name	en	ru	ru_FilippovaN
#################################################			
# Discipline			
#################################################			
CollectingEvent	Collecting Event	Cобытие сбора	Cобытие сбора
CollectionObject	Collection Object	Объект	Объект Коллекции
			
#################################################			
# Common			
#################################################			
Appraisal	Appraisal	Оценка	Оценка
CollectingTrip	Collecting Trip	Поездка для сбора	Экспедиция
ConservDescription	Conserv Description	Описания таблиц	Описание Консервации
Deaccession	Deaccession	Сделано недоступным	Списание
FieldNotebook	Field Notebook	Полевая тетрадь	Полевой Дневник
Project	Project	Проект	Проект
			
#################################################			
# Global			
#################################################			
Agent	Agent	Агент	Агент
Permit	Permit	Разрешение	Разрешение
Locality	Locality	Местонахождение	Местонахождение
Journal	Journal	Журнал	Журнал
ReferenceWork	Reference Work	Справочная работа	Литературный Источник
Taxon	Taxon	Таксон	Таксон
Geography	Geography	География	География
Storage	Storage	Место хранения	Место хранения
GeologicTimePeriod	Chronos	Хронос	Хронос
LithoStrat	Litho Stratigraphy	Литостратиграфия	Литостратиграфия
			
#################################################			
# Preparation Form			
#################################################			
IS_ON_LOAN	Is On Loan	В заеме	В заеме
SHOW_INTERACTIONS	Show Interactions	Показать взаимодействия	Показать Транзакции
