Field Name	en	ru
##################################################################
# Global Views Localization
#
# These for fields that are not in the schema or
# need to be overridden
##################################################################

##############################
# Tree Forms
##############################
# used by more than one form
ACCEPTEDPARENT	Preferred Name	Принятое название

# Taxon Form
PARENT	Parent	Родительский таксон
HYBRIDPARENT1	Hybrid Taxon 1	Гибридный Таксон 1
HYBRIDPARENT2	Hybrid Taxon 2	Гибридный Таксон 2
COMMONNAMES	Common Names	Народное название
ATTACHMENTS	Attachments	Приложения

# Separators in each form
TAXON	Taxonomy	Таксономия
LITHOSTRAT	LithoStrat	Литостратиграфия
GEOGRAPHY	Geography	География
GEOLOGICTIMEPERIOD	ChronoStrat	Хроностратиграфия
STORAGE	Storage	Место хранения

# Object Attachment Form
FILENAME	File Name	Имя файла
TITLE	Title	Заглавие
DATE_IMAGED	Date Imaged	Дата изображения
FILE_CREATED_DATE	File Created Date	Дата создания файла
COPYRIGHT_HOLDER	Copyright Holder	Правообладатель
COPYRIGHT_DATE	Copyright Date	Дата создания авторского права
ATTACHMENT_LOCATION	Attachment Location	Расположение приложения
LICENSE	License	Лицензия
CREDIT	Credit	Кредит
MIME_TYPE	Mime Type	Mime Тип
REMARKS	Remarks	Примечания

#Attachment Image Attribute Form
HEIGHT	Height	Высота
WIDTH	Width	Ширина
RESOLUTION	Resolution	Разрешение
MAGNIFICATION	Magnification	Увеличение
CREATIVE_COMMONS	Creative Commons	Creative Commons
MBIMAGEID	Morphbank Image ID	ID Изображения в Morphbank
TIMESTAMP_LAST_SEND	Sent to Morphbank	Отправлено в Morphbank
TIMESTAMP_LAST_UPDATECHECK	Updated from Morphbank	Обновлено от Morphbank

# Report Properties Form
TITLE	Title	Заголовок
SUBTITLE	SubTitle	Подзаголовок
FOOTER	Footer	Нижний колонтитул
