Field Name	en	ru
#EMAIL
EMAIL	Email	Email
EMAIL_ACCT_SETTINGS	Email Account Settings	Настройки Email
ACCT_TYPE	Account Type	Тип учетной записи
ACCT_NAME	Account Name	Имя учетной записи
SERVER_NAME	Server Name	Имя сервера
SMTP	SMTP	SMTP
LOCAL_MAILBOX	Local Mailbox	Локальный почтовый ящик
USER_INFO	User Information	Информация о пользователе
USERNAME	Username	Имя пользователя
PASSWORD	Password	Пароль
SEND_TEST_EMAIL	Send Test Email	Отправить тестовый Email
PORT	Port	Порт
EMAILSECURITY	Security	Безопасность

#FORMATTING
FORMATTING	Formatting	Форматирование
SCRN_DATE_FORMAT	Screen Date Format	Формат даты
ERROR_CLR	Error Color	Цвет ошибки
REQ_FIELD_CLR	Required Field Color	Цвет обязательного поля
VIEW_FIELD_CLR	View Field Color	Цвет основного поля
FORM_FONT	Form Font	Шрифт форм
FONT_SIZE	Size	Размер
CONTROL_SIZE	Control Size	Размер элемента управления
CO_ICON	Collection Object Icon	Значок объекта коллекции
DISC_ICON	Discipline Icon	Значок дисциплины
CHOOSE	Choose	Выбрать
APP_ICON_SEP	Application Icon	Значок приложения
APP_ICON	Application Icon	Значок приложения
SET_ICON	Set Icon	Установить значок
CLEAR_ICON	Clear Icon	Очистить значок
RESET_DEF_FONT	Reset To Default Font	Восстановить шрифт по умолчанию
SIMP_SRCH_SEP	Simple Search Results Bar	Простая результатов простого поиска
BNR_ICON_SIZE_LBL	Icon Size	Размер значка
BNR_ICON_SIZE	%d x %d pixels	%d x %d пикселей
FORM_LAYOUT	Form Layout	Макет формы

#Audits
AUDITS	Audit Log	Лог аудита
DO_AUDITS	Enable Auditing	Включить аудит
DO_AUDIT_FIELDS	Audit Field Value Changes	Включить аудит изменений
AUDIT_LIFESPAN_MONTHS	Months to Save Audits	Месяцев хранения аудитов

#WebPortal
PROCESS_WEBLINKS	Export WebLinks as URLs	Экспортировать веб-ссылки как URL-адреса

AUTONUM_INC_ERR	Error incrementing the number, the year '%s' or position '%d' was wrong.	Ошибка при инкрементировании: год '%s' или позиции  '%d' были неверными.
AUTONUM_BAD_DATA_ERR	There was a problem incrementing the formatted number.\nThere may be data in the database that doesn't match the format.	Не удалось инкрементировать форматированный номер.\nБаза данных может содержать данные, которые не соответствуют формату.


#MISC
MISC	Task Bar	Панель задач
INTERACTIONS	Task Bar Items	Элементы панели задач
USING_INTERACTIONS	Add Interactions	Показывать транзакции
ADD_TOOLS	Add Plugins	Показывать плагины
ADD_WELCOME	Add Welcome	Показывать Добро пожаловать
ADD_ATTACHMENTS	Add Attachments	Показывать приложения
ADD_CLEANUP	Add Cleanup Tools	Показывать инструменты верификации
ADD_SYMBIOTA	Add Symbiota	Показывать Symbiota
ADD_SGR	Add SGR	Показывать SGR
CLEANUP_TITLE	Cleanup Tools	Инструменты верификации

#SYSTEM
SYSTEM	System	Система
LOCALE	Locale	Локаль
GEO_REF	Georeferencing	Геопривязка
CACHE	Cache	Кэш
CACHE_CLR	Clear Specify Cache	Очистить Specify кэш
CACHE_DESC	Recovers disk space used temporarily.	Восстанавливает дисковое пространство, используемое на временной основе.
VERS_CHECK	Version Checking	Проверка версии
CHECK_UPDATES_STARTUP	Check For Updates At Startup	Проверять наличие обновлений при запуске
CHECK_FOR_UPDATES	Check For Updates	Проверить наличие обновлений
USAGE_STATS	Usage and Usability Statistics	Статистика использования
SEND_USAGE	Send Anonymous UUS	Отправить анонимный UUS
SPECIFY_BG_IMG	Background Image	Фоновая картинка
ISA_SEND_STATS	Send ISA/IA UUS	Отправить ISA / IA UUS
REP_IMG_PATH	Report Images Location	Указать расположение изображений
ISA_STATS_WARNING	You are required to send statistics when you have an ISA number.	При получении номера ISA вы обязаны отправлять статистику.
TABS.TITLE	Closing Tabs	Закрытие вкладок
TABS.ASKB4CLOSE	Ask me before closing tabs (otherwise, close the oldest tab)	Спрашивать перед закрытием вкладок (в противном случае закрывать самую старую вкладку)

#Attachments
ATTACHMENTS	Attachments	Приложения
ATTCH_URL.TITLE	URL used to connect to the Web Server	URL-адрес, используемый для подключения к Веб-серверу
ATTCH_PATH.TITLE	The path to the repository location	Путь к хранилищу
USE_ATTACH_PATH	Use Attachment Path	Использовать путь для приложений
USE_ATTACH_URL	Use Attachment Web Service	Использовать веб-сервис для приложений
ATTACHMENT_LOC	File path	Путь к файлу
ATTACHMENT_URL	URL	URL
ATTACHMENT_KEY	Key	Ключ
ATTACHMENT_MAKE_PUBLIC	Make attachments public by default	Сделать приложения публичными по умолчанию

OPENGL_WW	OpenGL / World Wind	OpenGL / World Wind
USE_WORLDWIND	Use World Wind for Map Display	Используйте World Wind для отображения карты
HAS_OPENGL	System can use OpenGL	Использовать OpenGL
CHECK_FOR_OPENGL	Check for OpenGL	Проверьте на OpenGL

NETWORK_PROXY	Network	Сеть
NETWORK_PROXY_SET	Network Proxy Settings	Настройки сетевого прокси
PROXY_HOST	HTTP Host	HTTP хост
PROXY_PORT	HTTP Port	HTTP порт
PROXY_HOST_HTTPS	HTTPS Host	HTTPS хост
PROXY_PORT_HTTPS	HTTPS Port	HTTPS порт

#GOOGLE_EARTH
GOOGLE_EARTH	Google Earth	Google Earth
ICON_PATH	Icon Image Path	Путь к изображению
PLACEMARK_BALLOON_CONFIG	Placemark Balloon Configuration	Конфигурация геометки
USE_ORIG_EXCEL_HEADERS	Use Original Excel Headers	Использовать оригинальные заголовки Excel
BALL_BG_CLR	Balloon BG Color	Цвет фона геометки
BALL_TXT_CLR	Balloon Text Color	Цвет текста геометки
PRI_URL	Primary URL	Основной URL
PRI_URL_TITLE	Primary URL Title	Заголовок основного URL
SEC_URL	Secondary URL	Вторичный URL
SEC_URL_TITLE	Secondary URL Title	Заголовок вторичного URL
GE_USE_KMZ	Use KMZ	Используйте KMZ

#Morphbank
MORPHBANK	Morphbank	Morphbank
MORPHBANK_DWC_MAPPING	Darwin Core Map	Darwin Core Map
MORPHBANK_USERID	User ID#	ID# пользователя
MORPHBANK_GROUPID	Group ID#	ID# группы
MORPHBANK_BASE_URL	Base URL	Базовый URL
MORPHBANK_IMAGEPOST_URL	Image Upload URL	URL для загрузки изображения

#TREE
TREE	Trees	Деревья
ALL_TREES	All Trees	Все деревья
RESTORE_EXPANSION_STATE	Restore Expansion State	Восстановить состояние расширения
PROMPT_TO_REPLACE_SYNONYM	Prompt to Replace Taxon with Preferred Taxon	Спрашивать перед заменой таксона на принятый
DISPLAY_TAXON_AUTHOR	Display Taxon Author in the tree view	Показывать автора таксона в дереве
TAXON_TREE	Taxon Tree	Дерево Таксона
TT_SHOW_COUNTS_BELOW	Show Counts Below	Показывать количество ниже
TT_COL_CLR_1	Column Color #1	Цвет столбца #1
TT_COL_CLR_2	Column Color #2	Цвет столбца #2
TT_SYN_CLR	Synonymy Color	Цвет синонима

GEO_TREE	Geography Tree	Географическое дерево
GT_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже
GT_COL_CLR_1	Column Color #1	Цвет столбца #1
GT_COL_CLR_2	Column Color #2	Цвет столбца #2
GT_SYN_CLR	Synonymy Color	Цвет синонима

LITHO_TREE	Litho Tree	Литографическое дерево
LT_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже
LT_COL_CLR_1	Column Color #1	Цвет столбца #1
LT_COL_CLR_2	Column Color #2	Цвет столбца #2
LT_SYN_CLR	Synonymy Color	Цвет синонима

GEO_PERIOD_TREE	Geologic Time Period Tree	Дерево геологического периода времени
GP_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже
GP_COL_CLR_1	Column Color #1	Цвет столбца #1
GP_COL_CLR_2	Column Color #2	Цвет столбца #2
GP_SYN_CLR	Synonymy Color	Цвет синонима

STORAGE_TREE	Storage Location Tree	Дерево места хранения
ST_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже
ST_COL_CLR_1	Column Color #1	Цвет столбца #1
ST_COL_CLR_2	Column Color #2	Цвет столбца #2
ST_SYN_CLR	Synonymy Color	Цвет синонима

#VIEWS' LABELS
V_EMAIL	Email	Email
V_FORMATTING	Formatting	Форматирование
V_MISC	Misc.	Разное
V_SYSTEM	System	Система
V_GOOGLE_EARTH	Google Earth	Google Earth
V_TREE_OPTIONS	Tree Options	Опции Дерева
V_AUDITS	Auditing	Аудит
V_WEBPORTAL	Web Portal	Веб-портал

# Backup Restore
MYSQL	MySQL	MySQL
BCKRSTR_OPTIONS	MySQL Application Executable Locations	MySQL Расположение исполняемых приложений
MYS_DUMP_PATH	mysqldump	mysqldump
MYS_RESTR_PATH	mysql	mysql
MYS_BCK_PATH	Backup Location	Местоположение резервных копий
MYS_BACKUP	Backup	Резервирование
MYS_RESTORE	Restore	Восстановление


#Login Prefs
LOGIN	Login Dialog	Диалог входа
CLEAR_USERNAMES	Username List	Список имен пользователей
CLEAR_DATABASES	Database Name List	Список имен базы данных
CLEAR_SERVERS	Server Name List	Список имен сервера
CLEAR	Clear	Очистить

