Field Name	en	ru
# TaxonLabelFormatter Plugin
NewAgent	New Agent	Новое лицо
Authors	Authors	Авторы
SampleOutput	Sample Output	Пример результата
LabelFormat	Label Format	Формат этикетки
ReferenceWork	Reference Work	Библиография
None	None	Никто
Search	Search	Поиск

# Lat/Lon Plugin
LatLonUI	Latitude / Longitude	Широта / Долгота
DDD.DDD	Decimal Degrees	Десятичные градусы
DD_MM.MM	Degrees Decimal Minutes	Градусы десятичные минуты
DD_MM_SS	Degrees Minutes Decimal Seconds	Градусы Минуты Десятичные Секунды
Point	Point	Точка
Line	Line	Линия
Rect	Rectangle	Прямоугольник
PointTT	Single Lat/Lon Point	Точка широты / долготы
LineTT	Two Lat/Lon points representing a line	Две точки широты и долготы, представляющие линию
RectTT	Two Lat/Lon points representing a rectangle (upper left and lower right)	Две точки широты и долготы, представляющие прямоугольник (вверху слева и внизу справа)

Latitude	Latitude	Широта
Longitude	Longitude	Долгота
LAT1	Latitude 1	Широта 1
LON1	Longitude 1	Долгота 1
LAT2	Latitude 2	Широта 2
LON2	Longitude 2	Долгота 2
LatLonUI.POINT_ERR	The point is in error.	Точка ошибочна
LatLonUI.POINT_INCMP	The point is incomplete.	Точка не полная
LatLonUI.FIRST_POINT_ERR	The first point is in error.	Первая точка ошибочна
LatLonUI.FIRST_POINT_INCMP	The first point is incomplete.	Первая точка не полная
LatLonUI.SEC_POINT_INCMP	The second point is incomplete.	Вторая точка ошибочна
LatLonUI.SEC_POINT_ERR	The second point is in error.	Вторая точка не полная
SOURCE	(Source)	(Источник)
LatLonUI.LL_SEP	Default Settings	Настройки по умолчанию
LatLonUI.LATDEF_DIR	Default to Latitude North	По умолчанию для северной широты
LatLonUI.LONDEF_DIR	Default to Longitude West	По умолчанию Северна Широта
LatLonUI.DEF_TYP	Default Type	По умолчанию Западная Долгота
LatLonUI.DEF_FMT	Default Format	Формат по умолчанию

ADD_AUTHOR_NAME_TT	Add Author Name	Добавить имя автора
REMOVE_AUTHOR_NAME_TT	Remove Author Name	Удалить имя автора
MOVE_AUTHOR_NAME_UP	Move the author name up in the list	Переместить имя автора вверх в списке
MOVE_AUTHOR_NAME_DOWN	Move the author name down in the list	Переместить имя автора вниз по списку

# PasswordStrengthUI
PasswordStrengthUI.VERY_WEAK	Very Weak	Очень слабый
PasswordStrengthUI.WEAK	Weak	Слабый
PasswordStrengthUI.MEDIOCRE	Mediocre	Средний
PasswordStrengthUI.STRONG	Strong	Сильный
PasswordStrengthUI.VERY_STRONG	Very Strong	Очень сильный

PasswordStrengthUI.PWD_MIN_LENGTH	Meets minimum length	Соответствует минимальной длине
PasswordStrengthUI.PWD_NUMERIC	Number character	Числа
PasswordStrengthUI.PWD_MIXED_CASE	Mixed case	Смешанный регистр
PasswordStrengthUI.PWD_SPECIAL	Special character	Специальные символы

# PartialDateUI
PartialDateUI	Partial Date	Частичная дата

HostTaxonPlugin.ERR_CLICK	Click For Error	Нажмите если ошибка
HostTaxonPlugin.ERR_BAD_NM	For the relationship `%s` the left side (or primary) collection must match the current collection `%s`	Для отношения `%s` основная коллекция должна соответствовать текущей коллекции `%s`
HostTaxonPlugin.ERR	There was an exception while trying to configure the plugin	Произошла ошибка при попытке настроить плагин
HostTaxonPlugin.ERR_MSG_RSC	There is no Collection for the relname `%s`	Нет коллекции для настоящего имени `%s`
HostTaxonPlugin.ERR_MSG_RSD	There is no Discipline for the relname `%s`	Там нет дисциплины для настоящего имени `%s`
HostTaxonPlugin.ERR_MSG_REL_EMPTY	The parameter `relname` is empty and can't be.	Параметр `настоящее имя` пуст и не может быть использован.

# SGR
SGR_NO_RESULTS_MLT	There are no results for the selected rows.	Нет результатов по выбранным строкам.
SGR_NO_RESULTS	There are no results for `%s`, `%s`, `%s`.	Нет результатов для `%s`, `%s`, `%s`.
SGRResultsChooser.TITLE	Scatter, Gather, Reconcile: Results Chooser - %d of %d	Рассеивать, Собирать, Согласовать: Выбор результатов - %d из %d
SGR_GET_GRP_DATA	Getting Aggregated Collections Data...	Получение агрегированных данных коллекций...
SGR_EDIT_BATCH_RESULTS	Edit Properties	Изменить свойства
SGR_STOP_PROCESSING	Stop Processing	Остановить обработку
SGR_RESUME_PROCESSING	Resume Processing	Возобновить обработку
SGR_SHOW_HISTOGRAM	Show Histogram	Показать гистограмму
SGR_MATCHERS_TITLE	Matchers	Matchers
SGR_CREATE_MATCHER	Create Matcher	Создать Matcher
SGR_EDIT_MATCHER	Edit Matcher Properties	Редактировать свойства Matcher
SGR_EDIT_MATCH_CONFIGURATION	Edit	Редактировать
SGR_BATCH_ITEMS	Records	Записи
